Div	Date	HomeTeam	AwayTeam	FTHG	FTAG	FTR	HTHG	HTAG	HTR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA
P1	2010-08-13	Sp Braga	Portimonense	3	1	H	2	0	H	1.36	4.5	9.0	1.3	4.4	9.75	1.45	3.6	7.0	1.29	4.5	8.0	1.3	4.33	8.0	1.33	4.6	8.0	27.0	1.45	1.35	4.8	4.3	12.22	8.89	21.0	2.25	2.12	1.78	1.66	11.0	-1.25	1.9	1.86	2.05	1.99
P1	2010-08-14	Maritimo	Setubal	0	1	A	0	0	D	1.7	3.5	5.25	1.62	3.3	5.5	1.75	3.1	4.5	1.62	3.25	5.0	1.62	3.3	5.0	1.67	3.4	5.0	24.0	1.75	1.69	3.64	3.32	5.7	5.08	18.0	2.26	2.2	1.67	1.61	8.0	-0.75	1.92	1.89	2.0	1.97
P1	2010-08-14	Naval	Porto	0	1	A	0	0	D	9.0	4.5	1.36	7.5	3.7	1.42	6.3	3.5	1.5	6.5	3.6	1.44	7.0	4.0	1.36	7.0	4.2	1.4	27.0	9.27	7.73	4.5	4.0	1.5	1.41	21.0	2.23	2.1	1.76	1.67	11.0	1.25	1.95	1.9	2.0	1.94
P1	2010-08-14	Pacos Ferreira	Sp Lisbon	1	0	H	0	0	D	4.75	3.4	1.8	4.75	3.3	1.7	4.0	3.2	1.8	3.75	3.2	1.83	4.0	3.4	1.73	4.6	3.3	1.73	27.0	4.96	4.49	3.56	3.29	1.83	1.78	19.0	2.33	2.22	1.65	1.59	10.0	0.0	3.57	3.24	1.33	1.29
P1	2010-08-15	Beira Mar	Leiria	0	0	D	0	0	D	2.5	3.0	3.0	2.4	2.95	2.8	2.4	2.9	2.9	2.38	3.1	2.62	2.4	2.9	2.75	2.38	2.88	3.1	26.0	2.5	2.4	3.1	3.01	3.24	2.93	16.0	2.5	2.33	1.57	1.54	17.0	0.0	1.75	1.7	2.25	2.1
P1	2010-08-15	Benfica	Academica	1	2	A	0	1	A	1.18	6.5	17.0	1.2	5.25	13.0	1.2	5.0	12.0	1.2	5.5	9.0	1.17	5.5	12.0	1.18	6.0	12.0	26.0	1.22	1.2	6.5	5.74	17.0	12.29	18.0	1.7	1.64	2.31	2.15	7.0	0.0	1.05	1.04	11.0	9.69
P1	2010-08-15	Rio Ave	Nacional	0	1	A	0	0	D	2.63	3.0	2.88	2.5	2.95	2.7	2.2	3.0	3.1	2.38	3.1	2.62	2.4	2.9	2.75	2.5	3.0	2.75	27.0	2.75	2.48	3.1	3.01	3.1	2.82	18.0	2.5	2.35	1.57	1.53	18.0	0.0	1.91	1.77	2.1	2.0
P1	2010-08-16	Olhanense	Guimaraes	0	0	D	0	0	D	3.0	3.0	2.5	2.8	3.0	2.45	2.7	3.0	2.5	2.75	3.2	2.25	2.88	3.0	2.25	2.88	3.0	2.38	27.0	3.12	2.85	3.15	3.02	2.56	2.45	18.0	2.62	2.41	1.55	1.51	16.0	0.0	2.2	2.05	1.83	1.74
P1	2010-08-20	Academica	Olhanense	1	1	D	0	0	D	1.95	3.3	4.0	1.85	3.1	4.2	1.85	3.1	4.0	1.8	3.25	3.75	1.85	3.25	4.0	1.95	3.1	4.0	29.0	2.02	1.91	3.3	3.17	4.39	4.02	19.0	2.58	2.39	1.57	1.52	12.0	0.0	1.45	1.37	3.0	2.82
P1	2010-08-21	Nacional	Benfica	2	1	H	0	0	D	6.0	3.5	1.62	5.5	3.7	1.55	4.9	3.3	1.65	4.5	3.5	1.62	5.1	3.6	1.6	5.5	3.75	1.57	29.0	7.23	5.82	4.04	3.63	1.65	1.56	25.0	2.1	2.0	1.84	1.76	11.0	1.0	1.93	1.88	2.02	1.96
P1	2010-08-21	Setubal	Sp Braga	0	0	D	0	0	D	5.25	3.4	1.7	4.5	3.25	1.75	4.2	3.1	1.8	3.75	3.25	1.8	4.5	3.4	1.73	4.75	3.4	1.73	27.0	5.54	4.73	3.64	3.32	1.8	1.73	20.0	2.33	2.22	1.65	1.59	10.0	0.75	1.96	1.9	2.0	1.95
P1	2010-08-22	Leiria	Pacos Ferreira	0	0	D	0	0	D	2.2	3.1	3.4	2.3	2.95	3.1	2.2	2.9	3.2	2.2	3.2	2.8	2.25	3.1	3.0	2.25	3.0	3.2	27.0	2.38	2.26	3.23	3.01	3.4	3.17	16.0	2.65	2.45	1.55	1.5	17.0	0.0	1.69	1.61	2.38	2.23
P1	2010-08-22	Portimonense	Naval	0	1	A	0	1	A	2.4	3.2	2.9	2.45	2.95	2.85	2.4	2.9	2.9	2.38	3.1	2.6	2.4	3.0	2.9	2.38	3.0	3.0	29.0	2.51	2.39	3.2	2.98	3.25	2.98	18.0	2.7	2.49	1.53	1.48	19.0	0.0	1.78	1.69	2.25	2.09
P1	2010-08-22	Porto	Beira Mar	3	0	H	2	0	H	1.18	6.5	13.0	1.16	5.75	15.5	1.17	5.4	13.0	1.12	6.5	12.0	1.17	6.0	13.0	1.18	6.0	13.0	28.0	1.21	1.18	6.5	5.87	15.58	13.33	23.0	1.8	1.72	2.24	2.04	10.0	-1.75	1.9	1.87	2.04	1.99
P1	2010-08-22	Sp Lisbon	Maritimo	1	0	H	0	0	D	1.55	3.7	6.5	1.48	3.7	6.5	1.5	3.5	6.3	1.5	3.6	5.5	1.5	3.6	6.5	1.57	3.6	6.0	29.0	1.64	1.53	4.0	3.68	7.5	6.03	20.0	2.38	2.2	1.67	1.6	11.0	0.0	1.2	1.15	5.33	4.68
P1	2010-08-23	Guimaraes	Rio Ave	0	0	D	0	0	D	1.67	3.4	5.75	1.65	3.4	5.0	1.65	3.3	4.9	1.67	3.25	4.5	1.67	3.25	5.5	1.67	3.3	5.25	29.0	1.75	1.69	3.66	3.32	5.75	5.08	20.0	2.43	2.24	1.65	1.58	11.0	0.0	1.29	1.23	4.04	3.68
