index	Div	Date	HomeTeam	AwayTeam	FTHG	FTAG	FTR	HTHG	HTAG	HTR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	Month	Day	Day_of_week	Season_of_year	Season_of_league	FT-GD	FTG	FTG-2.5	HT-GD	HTG	HTG-1.5	FTR-0	FTR-H	FTR-D	FTR-A	HTR-0	HTR-H	HTR-D	HTR-A	match_in_league_home	point-expanding_home	point-ewm-0.15_home	point-ewm-0.25_home	point-ewm-0.75_home	point-ewm-0.5_home	point-ewm-0.9_home	point-rolling-3_home	FTR-0-win-rate_home	FTR-0-draw-rate_home	FTR-0-lose-rate_home	FTR-0-win-rate_5_home	FTR-0-draw-rate_5_home	FTR-0-lose-rate_5_home	point_last_home	HTR-0-win-rate_home	HTR-0-draw-rate_home	HTR-0-lose-rate_home	HTR-0-win-rate_5_home	HTR-0-draw-rate_5_home	HTR-0-lose-rate_5_home	HTR-0-draw-rate_last_home	HTR-0-lose-rate_last_home	HTR-0-win-rate_last_home	HT-GD-sum_home	HT-GF-sum_home	HT-GA-sum_home	HT-GF-GA-expanding_home	HT-GD_last_home	HT-GF_last_home	HT-GA_last_home	FT-GD-sum_home	FT-GF-sum_home	FT-GA-sum_home	FT-GF-GA-expanding_home	FT-GD_last_home	HT-GF_last_home	FT-GA_last_home	match_in_league_away	point-expanding_away	point-ewm-0.15_away	point-ewm-0.25_away	point-ewm-0.75_away	point-ewm-0.5_away	point-ewm-0.9_away	point-rolling-3_away	FTR-0-win-rate_away	FTR-0-draw-rate_away	FTR-0-lose-rate_away	FTR-0-win-rate_5_away	FTR-0-draw-rate_5_away	FTR-0-lose-rate_5_away	point_last_away	HTR-0-win-rate_away	HTR-0-draw-rate_away	HTR-0-lose-rate_away	HTR-0-win-rate_5_away	HTR-0-draw-rate_5_away	HTR-0-lose-rate_5_away	HTR-0-draw-rate_last_away	HTR-0-lose-rate_last_away	HTR-0-win-rate_last_away	HT-GD-sum_away	HT-GF-sum_away	HT-GA-sum_away	HT-GF-GA-expanding_away	HT-GD_last_away	HT-GF_last_away	HT-GA_last_away	FT-GD-sum_away	FT-GF-sum_away	FT-GA-sum_away	FT-GF-GA-expanding_away	FT-GD_last_away	HT-GF_last_away	FT-GA_last_away	B365H_prob	B365D_prob	B365A_prob	BWH_prob	BWD_prob	BWA_prob	LBH_prob	LBD_prob	LBA_prob	VCH_prob	VCD_prob	VCA_prob	BbMxH_prob	BbAvH_prob	BbMxD_prob	BbAvD_prob	BbMxA_prob	BbAvA_prob	BbMx>2.5_prob	BbAv>2.5_prob	BbMx<2.5_prob	BbAv<2.5_prob	BbMxAHH_prob	BbAvAHH_prob	BbMxAHA_prob	BbAvAHA_prob	IWH_prob	IWD_prob	IWA_prob	B365_gmean	B365_std	BW_gmean	BW_std	IW_gmean	IW_std	LB_gmean	LB_std	VC_gmean	VC_std	BbMx_gmean	BbMx_std	BbAv_gmean	BbAv_std
0	P1	2010-08-13	Sp Braga	Portimonense	3	1	H	2	0	H	1.36	4.5	9.0	1.3	4.4	9.75	1.45	3.6	7.0	1.29	4.5	8.0	1.3	4.33	8.0	1.33	4.6	8.0	27.0	1.45	1.35	4.8	4.3	12.22	8.89	21.0	2.25	2.12	1.78	1.66	11.0	-1.25	1.9	1.86	2.05	1.99	8	13	4	3	2010	2	4	1	2	2	1	1	1	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.7352941176470588	0.2222222222222222	0.1111111111111111	0.7692307692307692	0.22727272727272727	0.10256410256410256	0.7751937984496123	0.2222222222222222	0.125	0.7518796992481203	0.2173913043478261	0.125	0.6896551724137931	0.7407407407407407	0.20833333333333334	0.23255813953488372	0.0818330605564648	0.11248593925759279	0.4444444444444444	0.4716981132075471	0.5617977528089888	0.6024096385542169	0.5263157894736842	0.5376344086021505	0.48780487804878053	0.5025125628140703	0.6896551724137931	0.2777777777777778	0.14285714285714285	1.2682651410769996	3.8401215258547916	1.273539130198241	4.2746344872983	1.1061183393517233	2.7983626164836704	1.1981452829790185	3.35604429847601	1.2193037191356553	3.335211137744256	1.4659041031301585	5.511681534099493	1.2410236950545	3.799609629071562
1	P1	2010-08-14	Maritimo	Setubal	0	1	A	0	0	D	1.7	3.5	5.25	1.62	3.3	5.5	1.75	3.1	4.5	1.62	3.25	5.0	1.62	3.3	5.0	1.67	3.4	5.0	24.0	1.75	1.69	3.64	3.32	5.7	5.08	18.0	2.26	2.2	1.67	1.61	8.0	-0.75	1.92	1.89	2.0	1.97	8	14	5	3	2010	-1	1	0	0	0	0	-1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.5882352941176471	0.2857142857142857	0.19047619047619047	0.6172839506172839	0.30303030303030304	0.18181818181818182	0.6172839506172839	0.3076923076923077	0.2	0.5988023952095809	0.29411764705882354	0.2	0.5714285714285714	0.591715976331361	0.2747252747252747	0.30120481927710846	0.17543859649122806	0.19685039370078738	0.4424778761061947	0.45454545454545453	0.5988023952095809	0.6211180124223602	0.5208333333333334	0.5291005291005292	0.5	0.5076142131979695	0.5714285714285714	0.3225806451612903	0.2222222222222222	1.0497941983483157	1.7750586844759058	1.0288276478101777	1.945798893342612	0.966977043945517	1.3750757554888868	0.9915962413403873	1.6903549923019128	1.0168741551490965	1.6654228692237096	1.1037825094527214	1.9756096105590633	1.018219895819376	1.6954153866629067
2	P1	2010-08-14	Naval	Porto	0	1	A	0	0	D	9.0	4.5	1.36	7.5	3.7	1.42	6.3	3.5	1.5	6.5	3.6	1.44	7.0	4.0	1.36	7.0	4.2	1.4	27.0	9.27	7.73	4.5	4.0	1.5	1.41	21.0	2.23	2.1	1.76	1.67	11.0	1.25	1.95	1.9	2.0	1.94	8	14	5	3	2010	-1	1	0	0	0	0	-1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.1111111111111111	0.2222222222222222	0.7352941176470588	0.13333333333333333	0.27027027027027023	0.7042253521126761	0.15384615384615385	0.2777777777777778	0.6944444444444444	0.14285714285714285	0.23809523809523808	0.7142857142857143	0.10787486515641856	0.129366106080207	0.2222222222222222	0.25	0.6666666666666666	0.7092198581560284	0.4484304932735426	0.47619047619047616	0.5681818181818182	0.5988023952095809	0.5128205128205129	0.5263157894736842	0.5	0.5154639175257733	0.15873015873015872	0.2857142857142857	0.6666666666666666	1.2682651410769996	3.8401215258547916	1.13430328344508	3.071503432088809	1.0699874805650793	2.411085509336683	1.076642522417457	2.5390024287765725	1.150898968020886	2.8	1.323345508216969	3.918456328709049	1.1731807939899819	3.1770898633812674
3	P1	2010-08-14	Pacos Ferreira	Sp Lisbon	1	0	H	0	0	D	4.75	3.4	1.8	4.75	3.3	1.7	4.0	3.2	1.8	3.75	3.2	1.83	4.0	3.4	1.73	4.6	3.3	1.73	27.0	4.96	4.49	3.56	3.29	1.83	1.78	19.0	2.33	2.22	1.65	1.59	10.0	0.0	3.57	3.24	1.33	1.29	8	14	5	3	2010	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.21052631578947367	0.29411764705882354	0.5555555555555556	0.21052631578947367	0.30303030303030304	0.5882352941176471	0.26666666666666666	0.3125	0.5464480874316939	0.2173913043478261	0.30303030303030304	0.5780346820809249	0.20161290322580647	0.22271714922048996	0.2808988764044944	0.303951367781155	0.5464480874316939	0.5617977528089888	0.4291845493562232	0.4504504504504504	0.6060606060606061	0.6289308176100629	0.2801120448179272	0.30864197530864196	0.7518796992481203	0.7751937984496123	0.25	0.3125	0.5555555555555556	1.0249289394850734	1.4767644813352376	0.9956290709630653	1.5256146302392357	0.94850488119735	1.1135528725660044	0.9334466982480075	0.9887534239300177	0.9907970469493216	1.4371151658791996	1.061711040087378	1.567896680269462	0.9912111050813396	1.3579518891821365
4	P1	2010-08-15	Beira Mar	Leiria	0	0	D	0	0	D	2.5	3.0	3.0	2.4	2.95	2.8	2.4	2.9	2.9	2.38	3.1	2.62	2.4	2.9	2.75	2.38	2.88	3.1	26.0	2.5	2.4	3.1	3.01	3.24	2.93	16.0	2.5	2.33	1.57	1.54	17.0	0.0	1.75	1.7	2.25	2.1	8	15	6	3	2010	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.4	0.3333333333333333	0.3333333333333333	0.4166666666666667	0.3389830508474576	0.35714285714285715	0.42016806722689076	0.3225806451612903	0.38167938931297707	0.42016806722689076	0.3472222222222222	0.3225806451612903	0.4	0.4166666666666667	0.3225806451612903	0.33222591362126247	0.30864197530864196	0.341296928327645	0.4	0.4291845493562232	0.6369426751592356	0.6493506493506493	0.5714285714285714	0.5882352941176471	0.4444444444444444	0.47619047619047616	0.4166666666666667	0.3448275862068966	0.3448275862068966	0.9410360288810287	0.2886751345948129	0.9021439513348603	0.28431203515386644	0.9075721442363073	0.28867513459481287	0.894592788030261	0.3666060555964673	0.9232566791428453	0.36896250938724573	0.9761000076685075	0.39310727967481524	0.9220628639235059	0.33151168908501555
5	P1	2010-08-15	Benfica	Academica	1	2	A	0	1	A	1.18	6.5	17.0	1.2	5.25	13.0	1.2	5.0	12.0	1.2	5.5	9.0	1.17	5.5	12.0	1.18	6.0	12.0	26.0	1.22	1.2	6.5	5.74	17.0	12.29	18.0	1.7	1.64	2.31	2.15	7.0	0.0	1.05	1.04	11.0	9.69	8	15	6	3	2010	-1	3	1	-1	1	0	-1	0	0	1	-1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.8474576271186441	0.15384615384615385	0.058823529411764705	0.8333333333333334	0.19047619047619047	0.07692307692307693	0.8333333333333334	0.18181818181818182	0.1111111111111111	0.8474576271186441	0.16666666666666666	0.08333333333333333	0.819672131147541	0.8333333333333334	0.15384615384615385	0.17421602787456444	0.058823529411764705	0.08136696501220506	0.5882352941176471	0.6097560975609756	0.4329004329004329	0.46511627906976744	0.9523809523809523	0.9615384615384615	0.09090909090909091	0.10319917440660475	0.8333333333333334	0.2	0.08333333333333333	1.6902859195830378	8.050101448636118	1.4475715726637057	5.995901377885842	1.3867225487012693	5.478442601080469	1.300591446851387	3.9068316233660916	1.46537995505658	5.4207133601891675	1.7091733590983393	8.032608542684002	1.4636157885288235	5.575275777932424
6	P1	2010-08-15	Rio Ave	Nacional	0	1	A	0	0	D	2.63	3.0	2.88	2.5	2.95	2.7	2.2	3.0	3.1	2.38	3.1	2.62	2.4	2.9	2.75	2.5	3.0	2.75	27.0	2.75	2.48	3.1	3.01	3.1	2.82	18.0	2.5	2.35	1.57	1.53	18.0	0.0	1.91	1.77	2.1	2.0	8	15	6	3	2010	-1	1	0	0	0	0	-1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.3802281368821293	0.3333333333333333	0.3472222222222222	0.4	0.3389830508474576	0.37037037037037035	0.42016806722689076	0.3225806451612903	0.38167938931297707	0.4	0.3333333333333333	0.36363636363636365	0.36363636363636365	0.40322580645161293	0.3225806451612903	0.33222591362126247	0.3225806451612903	0.3546099290780142	0.4	0.425531914893617	0.6369426751592356	0.6535947712418301	0.5235602094240838	0.5649717514124294	0.47619047619047616	0.5	0.45454545454545453	0.3333333333333333	0.3225806451612903	0.9441374883534316	0.18876793513023696	0.9034844346605948	0.22546248764114482	0.911690204046728	0.4932882862316247	0.894592788030261	0.3666060555964673	0.9141344254054364	0.25	0.9928815466232765	0.20207259421636908	0.9203814143498504	0.26851443164195093
7	P1	2010-08-16	Olhanense	Guimaraes	0	0	D	0	0	D	3.0	3.0	2.5	2.8	3.0	2.45	2.7	3.0	2.5	2.75	3.2	2.25	2.88	3.0	2.25	2.88	3.0	2.38	27.0	3.12	2.85	3.15	3.02	2.56	2.45	18.0	2.62	2.41	1.55	1.51	16.0	0.0	2.2	2.05	1.83	1.74	8	16	0	3	2010	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.3333333333333333	0.3333333333333333	0.4	0.35714285714285715	0.3333333333333333	0.4081632653061224	0.36363636363636365	0.3125	0.4444444444444444	0.3472222222222222	0.3333333333333333	0.42016806722689076	0.3205128205128205	0.3508771929824561	0.31746031746031744	0.33112582781456956	0.390625	0.4081632653061224	0.38167938931297707	0.41493775933609955	0.6451612903225806	0.6622516556291391	0.45454545454545453	0.48780487804878053	0.5464480874316939	0.5747126436781609	0.37037037037037035	0.3333333333333333	0.4	0.9410360288810287	0.2886751345948129	0.913469116272735	0.278388218141501	0.90856029641607	0.2516611478423583	0.9017797429984135	0.4752192476461085	0.9132204855810108	0.32883633213702734	0.9767433197974354	0.3323151115031234	0.9209118069297048	0.29263173671584786
8	P1	2010-08-20	Academica	Olhanense	1	1	D	0	0	D	1.95	3.3	4.0	1.85	3.1	4.2	1.85	3.1	4.0	1.8	3.25	3.75	1.85	3.25	4.0	1.95	3.1	4.0	29.0	2.02	1.91	3.3	3.17	4.39	4.02	19.0	2.58	2.39	1.57	1.52	12.0	0.0	1.45	1.37	3.0	2.82	8	20	4	3	2010	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	3.0	0.44999999999999996	0.75	2.25	1.5	2.6999999999999997	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-1	1.0	0.0	0.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	-1	-1	-1	1.0	1.0	1.0	1.0	-1	-1	-1	1	1.0	0.15	0.25	0.75	0.5	0.8999999999999999	0.0	0.0	1.0	0.0	0.0	1.0	0.0	-1	0.0	1.0	0.0	0.0	1.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	0.0	0.0	0.0	0.0	-1	-1	-1	0.5128205128205129	0.30303030303030304	0.25	0.5405405405405405	0.3225806451612903	0.23809523809523808	0.5555555555555556	0.3076923076923077	0.26666666666666666	0.5128205128205129	0.3225806451612903	0.25	0.49504950495049505	0.5235602094240838	0.30303030303030304	0.31545741324921134	0.22779043280182235	0.24875621890547267	0.38759689922480617	0.41841004184100417	0.6369426751592356	0.6578947368421053	0.6896551724137931	0.7299270072992701	0.3333333333333333	0.3546099290780142	0.5405405405405405	0.3225806451612903	0.25	0.9841959935971416	1.0420332688227059	0.9626601246561749	1.1757976016304847	0.9471306328496932	1.079737622449701	0.933127789204312	1.0128343069492332	0.9638974783634526	1.0275375094532235	1.027200814606772	1.1862686598462142	0.966017452842045	1.0616182615862129
9	P1	2010-08-21	Nacional	Benfica	2	1	H	0	0	D	6.0	3.5	1.62	5.5	3.7	1.55	4.9	3.3	1.65	4.5	3.5	1.62	5.1	3.6	1.6	5.5	3.75	1.57	29.0	7.23	5.82	4.04	3.63	1.65	1.56	25.0	2.1	2.0	1.84	1.76	11.0	1.0	1.93	1.88	2.02	1.96	8	21	5	3	2010	1	3	1	0	0	0	1	1	0	0	0	0	1	0	1	3.0	0.44999999999999996	0.75	2.25	1.5	2.6999999999999997	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-1	0.0	1.0	0.0	0.0	1.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-1	1.0	1.0	1.0	1.0	-1	-1	-1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-1	0.0	0.0	1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	-1	-1	-1	-1.0	0.0	0.0	0.0	-1	-1	-1	0.16666666666666666	0.2857142857142857	0.6172839506172839	0.18181818181818182	0.27027027027027023	0.6451612903225806	0.2222222222222222	0.2857142857142857	0.6172839506172839	0.18181818181818182	0.26666666666666666	0.6369426751592356	0.1383125864453665	0.1718213058419244	0.24752475247524752	0.27548209366391185	0.6060606060606061	0.641025641025641	0.47619047619047616	0.5	0.5434782608695652	0.5681818181818182	0.5181347150259068	0.5319148936170213	0.49504950495049505	0.5102040816326531	0.2040816326530612	0.30303030303030304	0.6060606060606061	1.080082298255291	2.19730137517213	1.0531998353130172	1.9775826994928258	0.9960398938159437	1.6250641012998022	0.9813198930565769	1.4622357311094998	1.0624535414775067	1.9689167918765216	1.213053478372682	2.7995416291481243	1.068718878977062	2.1302816715167037
