	PC-1	PC-2
point-expanding_home	0.006946310806888849	0.0074007379051825705
point-ewm-0.15_home	0.00613795169706212	0.00652875895435302
point-ewm-0.25_home	0.006535312175524758	0.007075888678857239
point-ewm-0.75_home	0.006956472941098862	0.0073474373103563665
point-ewm-0.5_home	0.006852270825283684	0.007339881491042243
point-ewm-0.9_home	0.00696212733709795	0.007364915525016758
point-rolling-3_home	0.020358931739595697	0.021759269214637125
FTR-0-win-rate_home	0.0023395785156281696	0.0029059956745709293
FTR-0-draw-rate_home	-0.0004760643966474948	-0.0006094491292884439
FTR-0-lose-rate_home	-0.0017551017776808904	-0.0023418722776935
FTR-0-win-rate_5_home	0.0023808435549019457	0.0029034428558610977
FTR-0-draw-rate_5_home	-0.0004365253717276723	-0.0007782006243013759
FTR-0-lose-rate_5_home	-0.0018359058418744897	-0.002170567963970735
point_last_home	0.4112029547554424	0.3566078443979991
HTR-0-win-rate_home	0.001578188387371179	0.001882321244823394
HTR-0-draw-rate_home	-0.000428598242162913	-0.0004823764365929424
HTR-0-lose-rate_home	-0.0010411778039084818	-0.001445270540641464
HTR-0-win-rate_5_home	0.001508097058044657	0.0020064314558086733
HTR-0-draw-rate_5_home	-0.0002908667665824741	-0.0005987312293980593
HTR-0-lose-rate_5_home	-0.0011088179501623986	-0.0014530259588216266
HTR-0-draw-rate_last_home	0.006638406369929858	0.0030397617209554466
HTR-0-lose-rate_last_home	0.005373644527608839	0.0017507647177178638
HTR-0-win-rate_last_home	0.007839157745548412	0.005124390304435514
HT-GD-sum_home	0.06567268336350612	0.08539644931280924
HT-GF-sum_home	0.051347749273563635	0.0507092575189864
HT-GA-sum_home	0.051347749273563635	0.0507092575189864
HT-GF-GA-expanding_home	0.000859236021831098	0.00038061063987045326
HT-GD_last_home	0.1279504811543397	0.170408659013386
HT-GF_last_home	0.1437919938316337	0.13582080353645345
HT-GA_last_home	0.1437919938316337	0.13582080353645345
FT-GD-sum_home	0.1586346557584394	0.20867494237331682
FT-GF-sum_home	0.12006260069665382	0.12797170220826293
FT-GA-sum_home	0.12006260069665382	0.12797170220826293
FT-GF-GA-expanding_home	0.0006862237805750782	0.0003121250078862936
FT-GD_last_home	0.2802217195555305	0.3752945681785162
HT-GF_last_home	0.1437919938316337	0.13582080353645345
FT-GA_last_home	0.2867525675625566	0.2905697753936744
point-expanding_away	0.007538404176198954	-0.006915067744786493
point-ewm-0.15_away	0.006528560577379172	-0.006525096328426128
point-ewm-0.25_away	0.006920139615718776	-0.006959701139869413
point-ewm-0.75_away	0.007469313039289739	-0.0070017550498828575
point-ewm-0.5_away	0.0072742174460824266	-0.007092034029516913
point-ewm-0.9_away	0.007526034829929926	-0.006946794897286978
point-rolling-3_away	0.021303240830159637	-0.020665744606817464
FTR-0-win-rate_away	0.002537331953637502	-0.0028220826687292344
FTR-0-draw-rate_away	-0.000585142430688657	0.0005506609432301664
FTR-0-lose-rate_away	-0.001855843743480455	0.002201140772081542
FTR-0-win-rate_5_away	0.0025881980191505317	-0.0028120041382983705
FTR-0-draw-rate_5_away	-0.0006039329811851466	0.0007026557974301144
FTR-0-lose-rate_5_away	-0.0018879192584969943	0.0020390673874507307
point_last_away	0.428890121065191	-0.32655731640725927
HTR-0-win-rate_away	0.001659918095841404	-0.001880360028007755
HTR-0-draw-rate_away	-0.00043237735129679993	0.00041600073147331456
HTR-0-lose-rate_away	-0.0011311949650762133	0.001394078343116914
HTR-0-win-rate_5_away	0.0018011512356719413	-0.0019259809652070934
HTR-0-draw-rate_5_away	-0.00040436342707255004	0.0005579751154048874
HTR-0-lose-rate_5_away	-0.001300442029131001	0.0012977248963846801
HTR-0-draw-rate_last_away	0.006812389552853356	-0.0025099262722343835
HTR-0-lose-rate_last_away	0.005475269274691559	-0.0013353209350017506
HTR-0-win-rate_last_away	0.008117835112218185	-0.004524619611132562
HT-GD-sum_away	0.07165642720811691	-0.08577284078297684
HT-GF-sum_away	0.05547133997264275	-0.054899003309968754
HT-GA-sum_away	0.05547133997264275	-0.054899003309968754
HT-GF-GA-expanding_away	0.0008263325937156037	-0.0005841911045363971
HT-GD_last_away	0.13638930471647467	-0.1616908256175442
HT-GF_last_away	0.15104827223341824	-0.12510151071487835
HT-GA_last_away	0.15104827223341824	-0.12510151071487835
FT-GD-sum_away	0.17419739258002614	-0.20645094387536614
FT-GF-sum_away	0.13042355486177792	-0.1338502886959855
FT-GA-sum_away	0.13042355486177792	-0.1338502886959855
FT-GF-GA-expanding_away	0.0006571925107682826	-0.0003889828955641139
FT-GD_last_away	0.2980741370153277	-0.35746596650988444
HT-GF_last_away	0.15104827223341824	-0.12510151071487835
FT-GA_last_away	0.3014866977070362	-0.27100154038712654
